ID,Prob1
0, 0.88
1, 0.26
2, 0.49
3, 0.03
4, 0.12
5, 0.05
6, 0.25
7, 0.53
8, 0.03
9, 0.08
10, 0.50
11, 0.18
12, 0.68
13, 0.46
14, 0.32
15, 0.37
16, 0.14
17, 0.71
18, 0.04
19, 0.61
20, 0.74
21, 0.90
22, 0.14
23, 0.75
24, 0.14
25, 0.90
26, 0.88
27, 0.27
28, 0.35
29, 0.53
30, 0.50
31, 0.39
32, 0.11
33, 0.23
34, 0.61
35, 0.28
36, 0.68
37, 0.05
38, 0.03
39, 0.21
40, 0.03
41, 0.04
42, 0.43
43, 0.17
44, 0.88
45, 0.17
46, 0.39
47, 0.31
48, 0.77
49, 0.68
50, 0.53
51, 0.04
52, 0.96
53, 0.33
54, 0.05
55, 0.65
56, 0.04
57, 0.50
58, 0.30
59, 0.03
60, 0.08
61, 0.24
62, 0.32
63, 0.70
64, 0.03
65, 0.05
66, 0.29
67, 0.05
68, 0.03
69, 0.46
70, 0.05
71, 0.10
72, 0.25
73, 0.88
74, 0.79
75, 0.24
76, 0.32
77, 0.36
78, 0.42
79, 0.14
80, 0.47
81, 0.62
82, 0.47
83, 0.32
84, 0.47
85, 0.21
86, 0.97
87, 0.96
88, 0.28
89, 0.04
90, 0.04
91, 0.15
92, 0.82
93, 0.96
94, 0.21
95, 0.59
96, 0.04
97, 0.21
98, 0.46
99, 0.03
100, 0.71
101, 0.50
102, 0.04
103, 0.72
104, 0.03
105, 0.32
106, 0.39
107, 0.74
108, 0.77
109, 0.39
110, 0.14
111, 0.50
112, 0.96
113, 0.18
114, 0.56
115, 0.38
116, 0.05
117, 0.37
118, 0.03
119, 0.04
120, 0.54
121, 0.77
122, 0.89
123, 0.38
124, 0.04
125, 0.54
126, 0.86
127, 0.42
128, 0.72
129, 0.96
130, 0.03
131, 0.10
132, 0.41
133, 0.44
134, 0.81
135, 0.83
136, 0.68
137, 0.96
138, 0.05
139, 0.18
140, 0.23
141, 0.16
142, 0.81
143, 0.05
144, 0.68
145, 0.05
146, 0.47
147, 0.82
148, 0.62
149, 0.28
150, 0.65
151, 0.54
152, 0.10
153, 0.50
154, 0.10
155, 0.05
156, 0.38
157, 0.07
158, 0.03
159, 0.91
160, 0.79
161, 0.46
162, 0.19
163, 0.79
164, 0.96
165, 0.03
166, 0.05
167, 0.61
168, 0.14
169, 0.03
170, 0.04
171, 0.21
172, 0.38
173, 0.14
174, 0.46
175, 0.21
176, 0.59
177, 0.17
178, 0.54
179, 0.77
180, 0.39
181, 0.03
182, 0.05
183, 0.12
184, 0.50
185, 0.27
186, 0.27
187, 0.77
188, 0.75
189, 0.23
190, 0.03
191, 0.04
192, 0.41
193, 0.68
194, 0.50
195, 0.42
196, 0.59
197, 0.04
198, 0.96
199, 0.56
200, 0.03
201, 0.75
202, 0.30
203, 0.17
204, 0.47
205, 0.03
206, 0.03
207, 0.04
208, 0.21
209, 0.46
210, 0.74
211, 0.37
212, 0.33
213, 0.05
214, 0.50
215, 0.14
216, 0.50
217, 0.54
218, 0.23
219, 0.68
220, 0.97
221, 0.12
222, 0.97
223, 0.42
224, 0.86
225, 0.43
226, 0.95
227, 0.23
228, 0.74
229, 0.04
230, 0.68
231, 0.91
232, 0.04
233, 0.03
234, 0.21
235, 0.36
236, 0.03
237, 0.05
238, 0.75
239, 0.05
240, 0.04
241, 0.03
242, 0.38
243, 0.59
244, 0.03
245, 0.73
246, 0.79
247, 0.68
248, 0.32
249, 0.57
250, 0.18
251, 0.97
252, 0.14
253, 0.03
254, 0.47
255, 0.38
256, 0.96
257, 0.27
258, 0.32
259, 0.47
260, 0.61
261, 0.38
262, 0.08
263, 0.38
264, 0.04
265, 0.04
266, 0.04
267, 0.32
268, 0.14
269, 0.09
270, 0.23
271, 0.27
272, 0.38
273, 0.03
274, 0.53
275, 0.73
276, 0.58
277, 0.12
278, 0.54
279, 0.38
280, 0.24
281, 0.12
282, 0.09
283, 0.64
284, 0.96
285, 0.96
286, 0.12
287, 0.04
288, 0.14
289, 0.12
290, 0.70
291, 0.12
292, 0.32
293, 0.14
294, 0.31
295, 0.41
296, 0.05
297, 0.05
298, 0.68
299, 0.65
300, 0.18
301, 0.03
302, 0.79
303, 0.79
304, 0.14
305, 0.03
306, 0.04
307, 0.05
308, 0.29
309, 0.50
310, 0.04
311, 0.24
312, 0.04
313, 0.10
314, 0.97
315, 0.20
316, 0.69
317, 0.03
318, 0.32
319, 0.41
320, 0.82
321, 0.54
322, 0.38
323, 0.79
324, 0.05
325, 0.72
326, 0.79
327, 0.61
328, 0.09
329, 0.78
330, 0.97
331, 0.03
332, 0.96
333, 0.04
334, 0.35
335, 0.04
336, 0.37
337, 0.03
338, 0.03
339, 0.05
340, 0.75
341, 0.18
342, 0.35
343, 0.32
344, 0.03
345, 0.26
346, 0.03
347, 0.41
348, 0.66
349, 0.03
350, 0.09
351, 0.30
352, 0.05
353, 0.47
354, 0.14
355, 0.38
356, 0.14
357, 0.09
358, 0.19
359, 0.05
360, 0.24
361, 0.31
362, 0.38
363, 0.05
364, 0.05
365, 0.95
366, 0.04
367, 0.58
368, 0.64
369, 0.54
370, 0.96
371, 0.15
372, 0.88
373, 0.58
374, 0.50
375, 0.28
376, 0.21
377, 0.18
378, 0.47
379, 0.04
380, 0.97
381, 0.31
382, 0.04
383, 0.70
384, 0.77
385, 0.42
386, 0.42
387, 0.32
388, 0.38
389, 0.72
390, 0.47
391, 0.04
392, 0.45
393, 0.12
394, 0.47
395, 0.03
396, 0.11
397, 0.04
398, 0.73
399, 0.03
400, 0.05
401, 0.88
402, 0.11
403, 0.03
404, 0.14
405, 0.11
406, 0.77
407, 0.05
408, 0.12
409, 0.12
410, 0.05
411, 0.71
412, 0.70
413, 0.77
414, 0.18
415, 0.02
416, 0.03
417, 0.50
418, 0.35
419, 0.03
