ID,Prob1
0, 0.57
1, 0.36
2, 0.19
3, 0.02
4, 0.04
5, 0.19
6, 0.53
7, 0.24
8, 0.01
9, 0.25
10, 0.43
11, 0.53
12, 0.19
13, 0.50
14, 0.21
15, 0.51
16, 0.12
17, 0.75
18, 0.13
19, 0.19
20, 0.65
21, 0.72
22, 0.22
23, 0.50
24, 0.22
25, 0.63
26, 0.30
27, 0.18
28, 0.26
29, 0.27
30, 0.47
31, 0.09
32, 0.29
33, 0.37
34, 0.44
35, 0.28
36, 0.19
37, 0.18
38, 0.13
39, 0.48
40, 0.12
41, 0.38
42, 0.28
43, 0.24
44, 0.53
45, 0.22
46, 0.15
47, 0.33
48, 0.60
49, 0.84
50, 0.24
51, 0.27
52, 0.59
53, 0.01
54, 0.36
55, 0.25
56, 0.02
57, 0.39
58, 0.38
59, 0.15
60, 0.19
61, 0.28
62, 0.25
63, 0.26
64, 0.10
65, 0.21
66, 0.47
67, 0.29
68, 0.25
69, 0.78
70, 0.01
71, 0.13
72, 0.25
73, 0.25
74, 0.94
75, 0.27
76, 0.25
77, 0.33
78, 0.44
79, 0.20
80, 0.43
81, 0.50
82, 0.45
83, 0.42
84, 0.21
85, 0.09
86, 0.87
87, 0.33
88, 0.22
89, 0.01
90, 0.20
91, 0.22
92, 0.36
93, 0.77
94, 0.62
95, 0.32
96, 0.02
97, 0.23
98, 0.20
99, 0.01
100, 0.75
101, 0.39
102, 0.21
103, 0.47
104, 0.02
105, 0.54
106, 0.49
107, 0.53
108, 0.53
109, 0.22
110, 0.25
111, 0.72
112, 0.99
113, 0.14
114, 0.39
115, 0.17
116, 0.11
117, 0.28
118, 0.10
119, 0.40
120, 0.57
121, 0.37
122, 0.34
123, 0.47
124, 0.09
125, 0.10
126, 0.25
127, 0.68
128, 0.61
129, 0.81
130, 0.18
131, 0.19
132, 0.28
133, 0.45
134, 0.74
135, 0.90
136, 0.42
137, 0.91
138, 0.03
139, 0.50
140, 0.05
141, 0.16
142, 0.87
143, 0.01
144, 0.44
145, 0.25
146, 0.52
147, 0.32
148, 0.22
149, 0.18
150, 0.66
151, 0.85
152, 0.37
153, 0.52
154, 0.15
155, 0.05
156, 0.21
157, 0.28
158, 0.02
159, 0.90
160, 0.71
161, 0.19
162, 0.33
163, 0.37
164, 0.68
165, 0.22
166, 0.13
167, 0.19
168, 0.33
169, 0.15
170, 0.42
171, 0.52
172, 0.12
173, 0.15
174, 0.25
175, 0.42
176, 0.73
177, 0.22
178, 0.25
179, 0.50
180, 0.61
181, 0.02
182, 0.20
183, 0.24
184, 0.60
185, 0.41
186, 0.28
187, 0.28
188, 0.55
189, 0.13
190, 0.19
191, 0.66
192, 0.46
193, 0.89
194, 0.50
195, 0.30
196, 0.29
197, 0.32
198, 0.73
199, 0.66
200, 0.35
201, 0.55
202, 0.19
203, 0.26
204, 0.39
205, 0.14
206, 0.52
207, 0.01
208, 0.19
209, 0.29
210, 0.88
211, 0.21
212, 0.43
213, 0.10
214, 0.28
215, 0.11
216, 0.50
217, 0.70
218, 0.59
219, 0.59
220, 0.70
221, 0.19
222, 0.54
223, 0.47
224, 0.57
225, 0.19
226, 0.74
227, 0.36
228, 0.38
229, 0.26
230, 0.68
231, 0.59
232, 0.29
233, 0.02
234, 0.24
235, 0.23
236, 0.32
237, 0.01
238, 0.15
239, 0.02
240, 0.01
241, 0.08
242, 0.22
243, 0.69
244, 0.01
245, 0.49
246, 0.79
247, 0.59
248, 0.59
249, 0.47
250, 0.26
251, 0.98
252, 0.20
253, 0.02
254, 0.12
255, 0.29
256, 0.95
257, 0.17
258, 0.33
259, 0.82
260, 0.19
261, 0.40
262, 0.47
263, 0.15
264, 0.20
265, 0.33
266, 0.30
267, 0.09
268, 0.46
269, 0.08
270, 0.23
271, 0.32
272, 0.30
273, 0.28
274, 0.68
275, 0.69
276, 0.15
277, 0.31
278, 0.38
279, 0.39
280, 0.23
281, 0.31
282, 0.11
283, 0.33
284, 0.44
285, 0.83
286, 0.16
287, 0.12
288, 0.07
289, 0.49
290, 0.64
291, 0.19
292, 0.23
293, 0.14
294, 0.33
295, 0.71
296, 0.01
297, 0.10
298, 0.74
299, 0.66
300, 0.19
301, 0.18
302, 0.48
303, 0.34
304, 0.19
305, 0.25
306, 0.15
307, 0.11
308, 0.19
309, 0.50
310, 0.12
311, 0.33
312, 0.19
313, 0.22
314, 0.81
315, 0.33
316, 0.22
317, 0.40
318, 0.67
319, 0.30
320, 0.59
321, 0.25
322, 0.19
323, 0.29
324, 0.15
325, 0.33
326, 0.28
327, 0.22
328, 0.11
329, 0.56
330, 0.91
331, 0.12
332, 0.80
333, 0.15
334, 0.33
335, 0.01
336, 0.27
337, 0.28
338, 0.41
339, 0.29
340, 0.39
341, 0.10
342, 0.17
343, 0.25
344, 0.09
345, 0.19
346, 0.02
347, 0.19
348, 0.40
349, 0.05
