ID,Prob1
0, 0.25
1, 0.40
2, 0.17
3, 0.14
4, 0.17
5, 0.19
6, 0.22
7, 0.22
8, 0.26
9, 0.31
10, 0.52
11, 0.18
12, 0.31
13, 0.79
14, 0.16
15, 0.57
16, 0.23
17, 0.60
18, 0.27
19, 0.20
20, 0.35
21, 0.33
22, 0.22
23, 0.26
24, 0.16
25, 0.51
26, 0.27
27, 0.20
28, 0.21
29, 0.30
30, 0.29
31, 0.18
32, 0.21
33, 0.35
34, 0.45
35, 0.22
36, 0.20
37, 0.26
38, 0.52
39, 0.22
40, 0.20
41, 0.48
42, 0.23
43, 0.43
44, 0.34
45, 0.28
46, 0.51
47, 0.26
48, 0.31
49, 0.42
50, 0.32
51, 0.37
52, 0.53
53, 0.14
54, 0.27
55, 0.27
56, 0.31
57, 0.26
58, 0.62
59, 0.23
60, 0.16
61, 0.18
62, 0.59
63, 0.42
64, 0.29
65, 0.24
66, 0.28
67, 0.37
68, 0.26
69, 0.38
70, 0.46
71, 0.27
72, 0.23
73, 0.37
74, 0.66
75, 0.58
76, 0.28
77, 0.46
78, 0.43
79, 0.29
80, 0.53
81, 0.23
82, 0.30
83, 0.41
84, 0.31
85, 0.24
86, 0.44
87, 0.52
88, 0.29
89, 0.33
90, 0.30
91, 0.18
92, 0.13
93, 0.58
94, 0.18
95, 0.28
96, 0.19
97, 0.33
98, 0.27
99, 0.38
100, 0.57
101, 0.19
102, 0.23
103, 0.41
104, 0.37
105, 0.52
106, 0.19
107, 0.65
108, 0.40
109, 0.23
110, 0.17
111, 0.38
112, 0.83
113, 0.23
114, 0.40
115, 0.24
116, 0.29
117, 0.70
118, 0.38
119, 0.28
120, 0.49
121, 0.37
122, 0.15
123, 0.36
124, 0.19
125, 0.41
126, 0.44
127, 0.68
128, 0.46
129, 0.65
130, 0.00
131, 0.21
132, 0.24
133, 0.40
134, 0.43
135, 0.22
136, 0.29
137, 0.67
138, 0.23
139, 0.38
140, 0.24
141, 0.23
142, 0.38
143, 0.17
144, 0.42
145, 0.26
146, 0.11
147, 0.30
148, 0.21
149, 0.20
150, 0.18
151, 0.77
152, 0.29
153, 0.47
154, 0.34
155, 0.26
156, 0.31
157, 0.30
158, 0.19
159, 0.34
160, 0.75
161, 0.20
162, 0.18
163, 0.25
164, 0.53
165, 0.17
166, 0.19
167, 0.21
168, 0.27
169, 0.34
170, 0.35
171, 0.50
172, 0.45
173, 0.31
174, 0.19
175, 0.17
176, 0.70
177, 0.23
178, 0.46
179, 0.26
180, 0.48
181, 0.19
182, 0.31
183, 0.22
184, 0.18
185, 0.34
186, 0.25
187, 0.32
188, 0.18
189, 0.20
190, 0.25
191, 0.52
192, 0.17
193, 0.44
194, 0.42
195, 0.30
196, 0.39
197, 0.40
198, 0.53
199, 0.62
200, 0.22
201, 0.39
202, 0.18
203, 0.39
204, 0.22
205, 0.16
206, 0.17
207, 0.29
208, 0.26
209, 0.21
210, 0.27
211, 0.19
212, 0.64
213, 0.40
214, 0.23
215, 0.25
216, 0.52
217, 0.46
218, 0.62
219, 0.27
220, 0.37
221, 0.24
222, 0.66
223, 0.53
224, 0.44
225, 0.31
226, 0.59
227, 0.25
228, 0.33
229, 0.38
230, 0.36
231, 0.60
232, 0.19
233, 0.19
234, 0.19
235, 0.30
236, 0.18
237, 0.21
238, 0.28
239, 0.23
240, 0.34
241, 0.14
242, 0.19
243, 0.34
244, 0.17
245, 0.41
